Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/24/2026,Kent St.,Eastern Michigan,A,Kent St. -0.84,Eastern Michigan +4.5 (-112),Eastern Michigan +4.5,"76-75, Kent St.",0,0.16,3.5,0,WIN,0
1/24/2026,Tennessee St.,Lindenwood,A,Lindenwood -6.83,Lindenwood -3.5 (-110),Lindenwood -4.5,"96-86, Tennessee St.",1,16.83,14.5,1,LOSS,-1
1/24/2026,Alabama A&M,Texas Southern,A,Alabama A&M -0.51,Texas Southern +1.5 (-112),Texas Southern +1,"89-74, Texas Southern",0,15.51,16,0.5,WIN,0
1/24/2026,Auburn,Florida,A,Florida -10.57,Auiburn +11.5 (-110),Auburn +11.5,"76-67, Auburn",0,19.57,20.5,0,WIN,0
1/24/2026,San Diego St.,UNLV,A,San Diego St. -2.46,UNLV +5.5 (-108),UNLV +3.5,"82-71, San Diego St.",1,8.54,7.5,2,LOSS,-1
1/24/2026,Memphis,Wichita St.,A,Wichita St. -4.29,Wichita St. -3.5 (-105),Wichita St. -3.5,"74-59, Wichita St.",0,10.71,11.5,0,WIN,0
1/24/2026,Murray St.,Northern Iowa,A,Murray St. -0.75,Northern Iowa +1.5 (-125),Northern Iowa +0,"81-76, Northern Iowa",0,5.75,5,1.5,WIN,0
1/24/2026,Florida St.,SMU,A,SMU -10.35,Florida St. +12.5 (-115),Florida St. +11.5,"83-80, SMU",0,7.35,8.5,1,WIN,0
1/24/2026,Stephen F. Austin,Lamar,A,Stephen F. Austin -7.01,Stephen F. Austin -4.5 (-108),Stephen F. Austin -5,"88-81, Stephen F. Austin",0,0.01,2,0.5,WIN,0
1/24/2026,Missouri St.,UTEP,A,Missouri St. -5.34,Missouri St. -1.5 (-108),Missouri St. -2,"62-57, Missouri St.",1,0.34,3,0.5,WIN,0.925925926
1/24/2026,North Dakota,Denver,A,Denver -3.22,North Dakota +4.5 (-112),North Dakota +5.5,"93-86, North Dakota",0,10.22,12.5,-1,WIN,0
1/24/2026,San Jose St.,Wyoming,A,Wyoming -13.06,Wyoming -12.5 (-118),Wyoming -13.5,"66-62, Wyoming",0,9.06,9.5,1,LOSS,0
1/24/2026,Jackson St.,Bethune Cookman,A,Bethune Cookman -9.82,Bethune Cookman -8.5 (-115),Bethune Cookman -8,"85-48, Bethune Cookman",0,27.18,29,-0.5,WIN,0
1/24/2026,Air Force,Boise St.,A,Boise St. -21.32,Air Force +23.5 (-112),Air Force +23.5,"96-54, Boise St.",0,20.68,18.5,0,LOSS,0
1/24/2026,Rider ,Mount St. Mary's,A,Mount St. Mary's -8.39,Mount St. Mary's -7.5 (-118),Mount St. Mary's -9.5,"71-61, Mount St. Mary's",0,1.61,0.5,2,WIN,0
1/24/2026,Tulsa,Rice,A,Tulsa -9.38,Tulsa -8.5 (-110),Tulsa -8.5,"87-81, Tulsa",0,3.38,2.5,0,LOSS,0
1/24/2026,UT Rio Grande Valley,Houston Christian,A,UT Rio Grande Valley -2.39,UT Rio Grande Valley +1.5 (-105),UT Rio Grande Valley -2.5,"68-51, UT Rio Grande Valley",1,14.61,14.5,4,WIN,0.952380952
1/24/2026,LSU,Arkansas,A,Arkansas -7.62,LSU +10.5 (-118),LSU +10.5,"85-81, Arkansas",0,3.62,6.5,0,WIN,0
1/24/2026,VCU,Davidson,A,VCU -3.86,Davidson +5.5 (-105),Davidson +5.5,"75-69, VCU",0,2.14,0.5,0,LOSS,0
1/24/2026,Seton Hall,DePaul,A,Seton Hall -1.89,Depaul +2.5 (-110),DePaul +2.5,"67-60, DePaul",0,8.89,9.5,0,WIN,0
